sgemm	2	3145728	45a71dee	52.315281000
sgemm	0	3145728	45a71dee	44.605568000
sgemm	1	3145728	45a71dee	15.617302000
sgemm	3	3145728	45a71dee	15.622212000
sgemm	5	3145728	45a71dee	15.445285000
sgemm	4	3145728	45a71dee	55.958258000
sgemm	2	3145728	45a71dee	43.066286000
sgemm	6	3145728	45a71dee	68.155081000
sgemm	3	3145728	45a71dee	52.534408000
sgemm	0	3145728	45a71dee	52.810406000
sgemm	5	3145728	45a71dee	52.795911000
sgemm	4	3145728	45a71dee	12.461197000
sgemm	1	3145728	45a71dee	52.838077000
sgemm	2	3145728	45a71dee	30.760756000
sgemm	1	3145728	45a71dee	20.897339000
sgemm	1	3145728	45a71dee	38.368171000
sgemm	0	3145728	45a71dee	59.327853000
sgemm	6	3145728	45a71dee	59.595475000
sgemm	4	3145728	45a71dee	83.990339000
sgemm	6	3145728	45a71dee	24.513919000
sgemm	2	3145728	45a71dee	105.162337000
sgemm	0	3145728	45a71dee	66.515513000
sgemm	5	3145728	45a71dee	126.114702000
sgemm	3	3145728	45a71dee	126.382282000
sgemm	1	3145728	45a71dee	66.769074000
sgemm	6	3145728	45a71dee	51.974350000
sgemm	4	3145728	45a71dee	51.839028000
sgemm	5	3145728	45a71dee	9.840608000
sgemm	2	3145728	45a71dee	39.033948000
sgemm	4	3145728	45a71dee	32.426898000
sgemm	5	3145728	45a71dee	32.616041000
sgemm	3	3145728	45a71dee	42.482756000
sgemm	1	3145728	45a71dee	42.487795000
strsm	3	2097152	e6adb9cb	15.299312000
sgemm	4	3145728	45a71dee	15.436775000
sgemm	6	3145728	45a71dee	48.065384000
strsm	1	2097152	e6adb9cb	15.419069000
sgemm	5	3145728	45a71dee	26.473934000
sgemm	0	3145728	45a71dee	69.050026000
sgemm	2	3145728	45a71dee	29.997800000
sgemm	3	3145728	45a71dee	11.132627000
sgemm	6	3145728	45a71dee	11.119215000
sgemm	4	3145728	45a71dee	39.829490000
sgemm	6	3145728	45a71dee	28.858996000
sgemm	1	3145728	45a71dee	39.907626000
sgemm	3	3145728	45a71dee	28.879171000
sgemm	0	3145728	45a71dee	59.914768000
sgemm	6	3145728	45a71dee	31.013223000
sgemm	1	3145728	45a71dee	31.007222000
sgemm	3	3145728	45a71dee	30.993063000
sgemm	2	3145728	45a71dee	59.921273000
sgemm	5	3145728	45a71dee	59.968381000
sgemm	6	3145728	45a71dee	46.217625000
sgemm	4	3145728	45a71dee	77.261742000
sgemm	5	3145728	45a71dee	46.225783000
strsm	6	2097152	e6adb9cb	9.191144000
sgemm	2	3145728	45a71dee	55.516209000
sgemm	0	3145728	45a71dee	55.535774000
sgemm	5	3145728	45a71dee	9.284413000
sgemm	3	3145728	45a71dee	55.538883000
sgemm	1	3145728	45a71dee	55.547260000
sgemm	4	3145728	45a71dee	35.973569000
sgemm	5	3145728	45a71dee	26.674199000
