sgemm	5	11059200	24c84a50	175.939241000
sgemm	6	11059200	24c84a50	405.868089000
sgemm	3	11059200	24c84a50	252.522728000
sgemm	4	11059200	24c84a50	380.797187000
sgemm	0	11059200	24c84a50	130.162985000
sgemm	5	11059200	24c84a50	102.214242000
sgemm	1	11059200	24c84a50	182.058492000
sgemm	5	11059200	24c84a50	147.811461000
sgemm	2	11059200	24c84a50	250.049856000
sgemm	4	11059200	24c84a50	249.376827000
sgemm	6	11059200	24c84a50	251.557963000
sgemm	3	11059200	24c84a50	251.559121000
sgemm	0	11059200	24c84a50	251.537584000
strsm	1	7372800	ff82dda0	198.963583000
sgemm	2	11059200	24c84a50	74.401271000
sgemm	3	11059200	24c84a50	88.277036000
sgemm	2	11059200	24c84a50	138.553039000
sgemm	1	11059200	24c84a50	161.606504000
sgemm	0	11059200	24c84a50	161.344525000
sgemm	4	11059200	24c84a50	231.055695000
sgemm	3	11059200	24c84a50	140.652779000
ssyrk	1	7372800	ff82dda0	77.998603000
sgemm	2	11059200	24c84a50	103.425209000
sgemm	6	11059200	24c84a50	375.947300000
sgemm	3	11059200	24c84a50	146.942887000
sgemm	1	11059200	24c84a50	136.036441000
strsm	0	7372800	ff82dda0	214.057507000
sgemm	5	11059200	24c84a50	465.931424000
sgemm	6	11059200	24c84a50	38.782966000
sgemm	4	11059200	24c84a50	185.764809000
sgemm	2	11059200	24c84a50	149.382581000
ssyrk	0	7372800	ff82dda0	125.713464000
sgemm	3	11059200	24c84a50	127.474193000
sgemm	4	11059200	24c84a50	89.338736000
sgemm	2	11059200	24c84a50	89.454641000
sgemm	6	11059200	24c84a50	170.264164000
sgemm	5	11059200	24c84a50	170.868296000
strsm	1	7372800	ff82dda0	209.061122000
sgemm	0	11059200	24c84a50	82.363778000
sgemm	2	11059200	24c84a50	107.821054000
sgemm	2	11059200	24c84a50	190.288368000
sgemm	0	11059200	24c84a50	215.893958000
sgemm	1	11059200	24c84a50	216.560583000
sgemm	3	11059200	24c84a50	298.264888000
sgemm	5	11059200	24c84a50	216.550673000
sgemm	6	11059200	24c84a50	252.279500000
sgemm	5	11059200	24c84a50	35.954501000
